bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0001,0.07977767,81.85,80.58,83.46
0002,0.05086324,52.19,51.37,54.98
0003,0.0579539,59.46,58.53,61.96
0004,0.07496232,76.91,75.71,78.72
0005,0.05347711,54.87,54.01,57.55
0006,0.05352908,54.92,54.06,57.6
0007,0.07996523,82.04,80.76,83.65
0008,0.06207327,63.69,62.69,66.02
0009,0.0532813,54.67,53.81,57.36
0010,0.04794071,49.19,48.42,52.1
0011,0.05946299,61.01,60.06,63.45
0012,0.05474395,56.17,55.29,58.8
0013,0.05046719,51.78,50.97,54.59
0014,0.0593103,60.85,59.9,63.3
0015,0.05749271,58.99,58.07,61.51
0016,0.07428058,76.21,75.02,78.05
0017,0.08854749,90.85,89.43,92.1
0018,0.05999567,61.56,60.6,63.97
0019,0.05682407,58.3,57.39,60.85
0020,0.0620329,63.65,62.65,65.98
0021,0.0554377,56.88,55.99,59.48
0022,0.04866188,49.93,49.15,52.81
0023,0.05225372,53.61,52.78,56.35
0024,0.06614093,67.86,66.8,70.03
0025,0.04351994,44.65,43.96,47.74
0026,0.06389389,65.56,64.53,67.81
0027,0.0645461,66.22,65.19,68.46
0028,0.06266356,64.29,63.29,66.6
0029,0.05561775,57.06,56.17,59.66
0030,0.0805836,82.68,81.39,84.26
0031,0.06002298,61.58,60.62,64.0
0032,0.06975659,71.57,70.45,73.59
0033,0.05479685,56.22,55.34,58.85
0034,0.04754647,48.78,48.02,51.71
0035,0.06261001,64.24,63.24,66.55
0036,0.07559891,77.56,76.35,79.35
0037,0.05121185,52.54,51.72,55.32
0038,0.05929553,60.84,59.89,63.28
0039,0.08448462,86.68,85.33,88.1
0040,0.06688399,68.62,67.55,70.76
0041,0.06545424,67.16,66.11,69.35
0042,0.06896291,70.76,69.65,72.81
0043,0.05827224,59.79,58.85,62.28
0044,0.04437149,45.53,44.82,48.58
0045,0.06337417,65.02,64.01,67.3
0046,0.05296068,54.34,53.49,57.04
0047,0.05849484,60.02,59.08,62.49
0048,0.06387896,65.54,64.52,67.8
0049,0.05871547,60.24,59.3,62.71
0050,0.07484038,76.79,75.59,78.6
0051,0.07794062,79.97,78.72,81.65
0052,0.0765385,78.53,77.3,80.27
0053,0.05751187,59.01,58.09,61.53
0054,0.05872097,60.25,59.31,62.72
0055,0.06593073,67.64,66.59,69.82
0056,0.06162624,63.23,62.24,65.58
0057,0.04903954,50.31,49.53,53.18
0058,0.05715936,58.65,57.73,61.18
0059,0.07623075,78.21,76.99,79.97
0060,0.05663994,58.11,57.21,60.67
0061,0.06018884,61.75,60.79,64.16
0062,0.070128,71.95,70.83,73.96
0063,0.05855267,60.08,59.14,62.55
0064,0.06358202,65.24,64.22,67.51
0065,0.05671494,58.19,57.28,60.74
0066,0.04558221,46.77,46.04,49.77
0067,0.05160638,52.95,52.12,55.71
0068,0.04939318,50.68,49.89,53.53
0069,0.05148192,52.82,52.0,55.59
0070,0.04768902,48.93,48.17,51.85
0071,0.06228396,63.9,62.91,66.23
0072,0.06158445,63.19,62.2,65.54
0073,0.05532195,56.76,55.88,59.37
0074,0.04581558,47.01,46.27,50.0
0075,0.06413558,65.8,64.78,68.05
0076,0.05451568,55.93,55.06,58.57
0077,0.05229212,53.65,52.82,56.38
0078,0.06522454,66.92,65.88,69.12
0079,0.06285271,64.49,63.48,66.79
0080,0.06373907,65.4,64.38,67.66
0081,0.06903931,70.83,69.73,72.88
0082,0.055112,56.54,55.66,59.16
0083,0.07267341,74.56,73.4,76.46
0084,0.05374901,55.15,54.29,57.82
0085,0.06808696,69.86,68.77,71.94
0086,0.05591589,57.37,56.48,59.95
