bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
ANSURI_fem_0001,81.85,164.05,40.94,112.21,98.48,103.42,113.17,62.15,41.15,39.01,23.31,26.34,16.44,12.44,57.24,24.44,75.65,39.81,39.06,30.07,56.94
ANSURI_fem_0002,52.19,151.97,35.09,89.39,73.28,91.76,97.76,53.14,34.41,32.43,19.09,22.72,14.05,14.13,49.57,21.87,68.75,38.36,34.84,23.17,53.07
ANSURI_fem_0003,59.46,156.38,35.36,95.5,74.76,94.5,100.93,55.79,37.37,34.41,20.57,23.73,15.26,13.55,52.76,23.15,72.52,41.61,36.84,26.13,53.66
ANSURI_fem_0004,76.91,181.25,38.12,96.28,82.11,100.83,109.31,59.53,40.52,36.79,21.32,25.94,16.05,14.85,61.5,28.11,88.34,43.38,43.85,26.21,58.86
ANSURI_fem_0005,54.87,154.06,33.5,83.93,71.84,96.47,97.75,56.44,36.67,34.79,19.07,24.05,14.18,13.21,52.39,22.56,72.05,39.07,36.5,21.68,52.11
ANSURI_fem_0006,54.92,152.31,35.54,85.11,72.38,91.6,99.78,59.28,38.45,33.85,20.09,23.93,14.56,14.56,51.81,22.09,72.37,36.8,38.45,21.62,53.68
ANSURI_fem_0007,82.04,181.82,39.19,92.09,79.4,104.72,110.7,63.88,41.95,40.09,23.18,29.28,17.22,14.3,68.04,30.85,92.74,40.82,46.61,25.13,57.19
ANSURI_fem_0008,63.69,161.32,37.86,94.72,80.69,96.19,105.68,58.18,36.34,35.6,21.06,26.11,14.9,12.88,53.77,23.25,75.36,39.81,39.81,22.86,54.06
ANSURI_fem_0009,54.67,154.43,35.07,89.2,75.61,92.62,99.87,54.17,35.33,32.43,19.88,23.11,15.34,13.65,52.13,24.23,72.18,38.79,36.08,22.68,53.03
ANSURI_fem_0010,49.19,161.76,32.99,76.89,66.13,88.04,93.53,51.61,34.06,33.07,20.05,22.43,14.63,13.59,54.15,24.43,76.51,38.79,37.88,19.43,55.0
ANSURI_fem_0011,61.01,165.71,37.11,94.26,71.71,92.47,104.62,54.75,35.33,35.52,20.77,25.76,15.25,14.65,57.07,24.2,80.72,39.3,40.65,24.84,55.49
ANSURI_fem_0012,56.17,160.38,34.02,85.87,75.65,92.55,97.71,54.74,36.59,34.63,20.36,23.46,14.54,13.68,54.05,23.73,75.29,39.63,38.2,21.81,54.01
ANSURI_fem_0013,51.78,163.46,34.21,80.43,67.36,89.28,96.38,53.17,35.0,31.34,19.09,22.76,14.48,13.72,55.18,23.76,79.06,39.64,38.32,21.08,54.44
ANSURI_fem_0014,60.85,162.42,36.34,90.3,77.84,96.82,100.5,56.24,36.41,35.9,20.7,24.36,14.86,12.76,53.09,23.96,78.8,36.97,41.03,22.95,55.64
ANSURI_fem_0015,58.99,163.53,35.03,92.52,71.12,93.23,100.12,53.7,36.32,33.83,20.54,25.13,15.45,13.47,53.93,23.65,75.4,42.41,36.56,24.62,55.11
ANSURI_fem_0016,76.21,171.07,38.24,95.6,85.47,104.03,105.79,62.0,42.14,37.16,21.86,27.26,16.28,13.68,59.39,26.43,79.74,43.49,41.08,25.17,57.23
ANSURI_fem_0017,90.85,163.56,39.54,106.13,99.39,113.22,116.07,71.72,48.28,42.72,23.46,28.69,16.49,14.69,54.04,23.6,75.24,44.62,38.78,27.72,56.55
ANSURI_fem_0018,61.56,160.72,35.14,96.2,81.07,96.49,99.74,57.14,36.97,33.56,20.25,23.86,14.49,13.0,52.28,23.24,76.79,39.22,39.14,25.21,53.23
